,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
30,32.0,0.0,100.0,0.0,-22.64065646395948,3.891802844472395e-15
31,43.0,0.0,100.0,0.0,-15.49233563202876,0.0
32,18.0,0.0,100.0,0.0,-22.33498043175256,0.0
33,25.0,0.0,100.0,0.0,-14.026301061688372,0.0
34,63.0,0.0,100.0,0.0,-21.206121740400388,0.0
35,36.0,0.0,100.0,0.0,-16.960268733695628,0.0
36,0.0,0.0,15.0,0.0,11.373905905776793,0.0
37,26.0,0.0,100.0,0.0,-18.72645791319043,0.0
38,43.0,0.0,100.0,0.0,-19.79235439492512,3.891802844472395e-15
39,34.0,0.0,100.0,0.0,-21.139660822551143,3.891802844472395e-15
40,37.0,0.0,100.0,0.0,-21.36585020876545,0.0
41,53.0,0.0,100.0,0.0,-19.043860833200306,3.891802844472395e-15
42,57.0,0.0,100.0,0.0,-17.489043261799004,3.891802844472395e-15
43,35.0,0.0,100.0,0.0,-16.71276698167595,0.0
44,0.0,0.0,31.0,0.0,9.342872928558412,0.0
45,8.0,0.0,100.0,0.0,-18.378143276669004,0.0
46,18.0,0.0,100.0,0.0,-17.79265037220804,0.0
47,1.0,0.0,29.0,0.0,9.55117395143928,0.0
48,33.0,0.0,100.0,0.0,-17.678574734627855,0.0
49,0.0,0.0,13.0,0.0,12.657836584000265,0.0
50,15.0,0.0,100.0,0.0,-15.687193893220808,0.0
51,0.0,0.0,23.0,0.0,10.523538759196605,0.0
52,7.0,0.0,100.0,0.0,-15.792145850986333,7.944109290391273e-16
53,0.0,0.0,100.0,0.0,-18.6821954409893,0.0
54,6.0,0.0,100.0,0.0,-19.06150324601054,3.891802844472395e-15
55,0.0,0.0,100.0,0.0,-19.24559358835505,0.0
56,0.0,0.0,16.0,0.0,12.186685448253314,0.0
57,0.0,0.0,11.0,0.0,12.689999081968637,0.0
58,0.0,0.0,18.0,0.0,11.560023286715843,1.9459014222361975e-15
59,0.0,0.0,14.0,0.0,12.179570207429052,0.0
60,0.0,0.0,14.0,0.0,12.163692444044822,0.0
61,0.0,0.0,18.0,0.0,11.484725600723625,1.9459014222361975e-15
62,0.0,0.0,19.0,0.0,11.222556832539295,0.0
63,0.0,0.0,11.0,0.0,12.809441657412012,1.9459014222361975e-15
64,0.0,0.0,11.0,0.0,13.074221038272759,1.7763568394002505e-15
65,0.0,0.0,17.0,0.0,11.929343194999708,0.0
66,0.0,0.0,29.0,0.0,9.510666067027527,0.0
67,0.0,0.0,27.0,0.0,9.438509348755586,0.0
68,0.0,0.0,13.0,0.0,12.351640542129418,0.0
69,17.0,0.0,100.0,0.0,-19.186073989940493,0.0
70,14.0,0.0,100.0,0.0,-16.356696964321667,0.0
71,5.0,0.0,26.0,0.0,9.792619944673076,0.0
72,0.0,0.0,19.0,0.0,11.926398427853645,1.9459014222361975e-15
73,9.0,0.0,100.0,0.0,-18.02582955699542,0.0
74,0.0,0.0,40.0,0.0,7.0092544139882,8.881784197001252e-16
75,52.0,0.0,100.0,0.0,-18.85644810072009,0.0
76,0.0,0.0,10.0,0.0,12.475514287764456,0.0
77,61.0,0.0,100.0,0.0,-18.307681297009104,3.891802844472395e-15
